date,product,sales,inventory
2025-01-01,Laptop,42,120
2025-01-01,Mouse,118,300
2025-01-01,Keyboard,77,210
2025-01-02,Laptop,45,116
2025-01-02,Mouse,124,292
2025-01-02,Keyboard,80,205
2025-01-03,Laptop,39,112
2025-01-03,Mouse,130,285
2025-01-03,Keyboard,74,198
2025-01-04,Laptop,48,108
2025-01-04,Mouse,122,278
2025-01-04,Keyboard,82,192
2025-01-05,Laptop,52,102
2025-01-05,Mouse,136,270
2025-01-05,Keyboard,85,186
2025-01-06,Laptop,46,99
2025-01-06,Mouse,128,264
2025-01-06,Keyboard,79,181
2025-01-07,Laptop,54,94
2025-01-07,Mouse,140,256
2025-01-07,Keyboard,88,175
2025-01-08,Laptop,50,90
2025-01-08,Mouse,133,248
2025-01-08,Keyboard,83,169
2025-01-09,Laptop,57,85
2025-01-09,Mouse,145,240
2025-01-09,Keyboard,91,163
2025-01-10,Laptop,53,81
2025-01-10,Mouse,138,233
2025-01-10,Keyboard,86,158
